,Name,Full Ticker,Ticker,P/E Ratio,sector,industry,ticker
2510,Linocraft Holdings Limited,SEHK:8383,8383,13.9103,Consumer Cyclical,Packaging & Containers,8383
2511,Prosperous Printing Company Limited,SEHK:8385,8385,-27.2946,Industrials,Specialty Business Services,8385
2512,Elegance Commercial and Financial Printing Group Limited,SEHK:8391,8391,-13.8883,Industrials,Specialty Business Services,8391
2513,Satu Holdings Limited,SEHK:8392,8392,-17.3493,Consumer Cyclical,"Furnishings, Fixtures & Appliances",8392
2514,Tree Holdings Limited,SEHK:8395,8395,134.1741,,,8395
2515,Stelux Holdings International Limited,SEHK:84,84,-0.255,,,84
2516,Xinjiang Tianye Water Saving Irrigation System Company Limited,SEHK:840,840,-2.9939,Industrials,Farm & Heavy Construction Machinery,840
2517,Asia Pioneer Entertainment Holdings Limited,SEHK:8400,8400,-1.9254,Consumer Cyclical,Gambling,8400
2518,Stream Ideas Group Limited,SEHK:8401,8401,-67.7874,Communication Services,Advertising Agencies,8401
2519,GT Steel Construction Group Limited,SEHK:8402,8402,-44.18600000000001,Basic Materials,Steel,8402
2520,Dowway Holdings Limited,SEHK:8403,8403,-4.832,Communication Services,Advertising Agencies,8403
2521,Asia Cassava Resources Holdings Limited,SEHK:841,841,-38.4613,Consumer Defensive,Packaged Foods,841
2522,BCI Group Holdings Limited,SEHK:8412,8412,-12.6272,Consumer Cyclical,Restaurants,8412
2523,Asia Grocery Distribution Limited,SEHK:8413,8413,-161.1533,Consumer Defensive,Food Distribution,8413
2524,HM International Holdings Limited,SEHK:8416,8416,-22.5313,Industrials,Specialty Business Services,8416
2525,Dadi Education Holdings Limited,SEHK:8417,8417,-100.8595,Consumer Defensive,Education & Training Services,8417
2526,Optima Automobile Group Holdings Limited,SEHK:8418,8418,-62.1286,Consumer Cyclical,Auto Parts,8418
2527,AV Promotions Holdings Limited,SEHK:8419,8419,-86.351,Industrials,Specialty Business Services,8419
2528,Nexion Technologies Limited,SEHK:8420,8420,-10.659,Technology,Software—Infrastructure,8420
2529,WT Group Holdings Limited,SEHK:8422,8422,-7.1795,Industrials,Engineering & Construction,8422
2530,Chi Ho Development Holdings Limited,SEHK:8423,8423,13.0565,Industrials,Engineering & Construction,8423
2531,Hing Ming Holdings Limited,SEHK:8425,8425,575.1351,Industrials,Rental & Leasing Services,8425
2532,SK Target Group Limited,SEHK:8427,8427,-5.9742,Technology,Communication Equipment,8427
2533,CBK Holdings Limited,SEHK:8428,8428,-1.7388,Consumer Cyclical,Restaurants,8428
2534,Icicle Group Holdings Limited,SEHK:8429,8429,-53.0458,Communication Services,Advertising Agencies,8429
2535,C&N Holdings Limited,SEHK:8430,8430,-14.6381,Industrials,Trucking,8430
2536,Hao Bai International (Cayman) Limited,SEHK:8431,8431,-2.1707,Industrials,Engineering & Construction,8431
2537,Bar Pacific Group Holdings Limited,SEHK:8432,8432,-9.1768,Consumer Cyclical,Restaurants,8432
2538,Takbo Group Holdings Limited,SEHK:8436,8436,4.4821,Consumer Defensive,Household & Personal Products,8436
2539,RMH Holdings Limited,SEHK:8437,8437,-23.978,Healthcare,Medical Care Facilities,8437
2540,Greatime International Holdings Limited,SEHK:844,844,-11.4727,Consumer Cyclical,Apparel Manufacturing,844
2541,Noble Engineering Group Holdings Limited,SEHK:8445,8445,-13.2392,Industrials,Engineering & Construction,8445
2542,In Technical Productions Holdings Limited,SEHK:8446,8446,-4.0768,Communication Services,Entertainment,8446
2543,MS Concept Limited,SEHK:8447,8447,241.2587,Consumer Cyclical,Restaurants,8447
2544,Universe Printshop Holdings Limited,SEHK:8448,8448,-2.1512,Industrials,Specialty Business Services,8448
2545,Glorious Property Holdings Limited,SEHK:845,845,3.4428,Real Estate,Real Estate—Development,845
2546,EDICO Holdings Limited,SEHK:8450,8450,8.9286,Industrials,Specialty Business Services,8450
2547,Sunlight (1977) Holdings Limited,SEHK:8451,8451,15.1794,Consumer Defensive,Household & Personal Products,8451
2548,Lai Group Holding Company Limited,SEHK:8455,8455,-44.6941,Industrials,Consulting Services,8455
2549,Mansion International Holdings Limited,SEHK:8456,8456,-0.7107,Consumer Cyclical,Apparel Manufacturing,8456
2550,"Mingfa Group (International) Co., Ltd.",SEHK:846,846,7.4506,Real Estate,Real Estate—Development,846
2551,Basetrophy Group Holdings Limited,SEHK:8460,8460,-69.3161,Industrials,Engineering & Construction,8460
2552,Omnibridge Holdings Limited,SEHK:8462,8462,-410.6581,Industrials,Staffing & Employment Services,8462
2553,Reach New Holdings Limited,SEHK:8471,8471,-11.2754,Consumer Cyclical,Textile Manufacturing,8471
2554,Lapco Holdings Limited,SEHK:8472,8472,146.2639,Industrials,Waste Management,8472
2555,Mi Ming Mart Holdings Limited,SEHK:8473,8473,12.572000000000001,Consumer Cyclical,Specialty Retail,8473
2556,K Group Holdings Limited,SEHK:8475,8475,-3.3756,Consumer Cyclical,Restaurants,8475
2557,JTF International Holdings Limited,SEHK:8479,8479,23.6297,Energy,Oil & Gas Refining & Marketing,8479
2558,Furniweb Holdings Limited,SEHK:8480,8480,-3.2512,Consumer Cyclical,Textile Manufacturing,8480
2559,Shenglong Splendecor International Limited,SEHK:8481,8481,6.5802,Basic Materials,Paper & Paper Products,8481
2560,Wan Leader International Limited,SEHK:8482,8482,-96.1672,Industrials,Integrated Freight & Logistics,8482
2561,Max Sight Group Holdings Limited,SEHK:8483,8483,-5.8851,Consumer Cyclical,Personal Services,8483
2562,ISP Global Limited,SEHK:8487,8487,1045.0171,Technology,Communication Equipment,8487
2563,Grand Power Logistics Group Limited,SEHK:8489,8489,,Industrials,Integrated Freight & Logistics,8489
2564,Niche-Tech Group Limited,SEHK:8490,8490,-31.6543,Technology,Semiconductor Equipment & Materials,8490
2565,Cool Link (Holdings) Limited,SEHK:8491,8491,-12.0264,Consumer Defensive,Food Distribution,8491
2566,Dragon King Group Holdings Limited,SEHK:8493,8493,-4.9773,Consumer Cyclical,Restaurants,8493
2567,1957 & Co. (Hospitality) Limited,SEHK:8495,8495,-5.6374,Consumer Cyclical,Restaurants,8495
2568,Singapore Food Holdings Limited,SEHK:8496,8496,-12.8551,Consumer Defensive,Grocery Stores,8496
2569,Long Well International Holdings Limited,SEHK:850,850,-4.4754,,Type,850
2570,Icon Culture Global Company Limited,SEHK:8500,8500,23.2072,Communication Services,Advertising Agencies,8500
2571,Sanbase Corporation Limited,SEHK:8501,8501,5.5372,Industrials,Consulting Services,8501
2572,Ocean Line Port Development Limited,SEHK:8502,8502,3.6741,Industrials,Infrastructure Operations,8502
2573,China Futex Holdings Limited,SEHK:8506,8506,164.2107,Industrials,Specialty Industrial Machinery,8506
2574,i.century Holding Limited,SEHK:8507,8507,-3.5667,Consumer Cyclical,Apparel Manufacturing,8507
2575,Wine's Link International Holdings Limited,SEHK:8509,8509,12.5422,Consumer Defensive,Beverages—Wineries & Distilleries,8509
